工	aaa
陛	bxx
及	byi
聤	byk
孩	byn
防	byt
颈	cad
劲	cae
才	cai
弁	caj
残	can
草	cao
迳	cap
戏	cay
邓	cbh
又	ccc
斚	ccp
㕕	ccu
双	ccy
叁	cdd
参	cde
畚	cdl
䏍	cef
通	ceh
岑	cen
劝	cet
能	cex
圣	cff
怼	cfn
对	cfy
驱	cga
骤	cgb
骚	cgc
马	cgd
骊	cgg
驶	cgk
骡	cgl
骋	cgm
驼	cgp
驹	cgq
驳	cgr
骄	cgt
骥	cgu
验	cgw
骗	cgy
差	cha
车	che
吃	chi
冲	cho
覌	chq
出	chu
厼	ciu
邰	ckb
台	ckf
怠	ckn
迨	ckp
㰧	ckq
巼	ckx
岊	cmj
观	cmq
贠	cmu
预	cnh
厶	cny
驟	cob
騃	coc
騎	cod
驍	cof
驪	cog
驢	coh
馬	coi
馹	coj
駛	cok
驛	col
騧	com
从	con
駁	cor
驃	cos
驕	cot
凑	cou
騄	cov
騟	cow
騙	coy
允	cqb
欢	cqw
鸡	cqy
矣	ctd
牟	ctg
催	cui
村	cun
错	cuo
艰	cve
逡	cwt
难	cwy
叉	cyi
蚤	cyj
厮	dad
左	daf
矼	dag
礴	dai
㚏	daj
砸	dam
碟	dan
到	dao
礞	dap
砌	dav
䂝	day
顾	dbd
耷	dbf
矷	dbg
䂙	dbh
㚎	dbj
础	dbm
厄	dbv
夿	dcb
鬃	dce
码	dcg
镻	dcr
友	dcu
肆	dcv
雄	dcw
套	ddc
磊	ddd
碱	ddg
厦	ddh
硕	ddm
㚐	ddu
厌	ddy
郁	deb
历	dee
有	def
胡	deg
得	dei
扽	den
夯	der
劯	det
長	deu
奔	dfa
磕	dfc
圧	dfd
辱	dfe
奎	dff
矸	dfh
奈	dfi
夲	dfj
厈	dfk
夸	dfn
奢	dft
夺	dfu
压	dfy
研	dga
三	dgg
古	dgh
硬	dgj
感	dgk
厉	dgq
厂	dgt
砰	dgu
威	dgv
戌	dgx
存	dhb
破	dhc
慧	dhd
甭	dhe
在	dhf
歪	dhg
不	dhi
丰	dhk
还	dhp
艳	dhq
夏	dht
契	dhv
嗲	dia
耙	dic
硝	die
耕	dif
耒	dii
定	din
砂	dit
泵	diu
耪	diy
厚	djb
百	djf
碍	djg
砷	djh
夰	djj
奄	djn
右	dkf
夼	dkj
奋	dlf
砗	dlh
厍	dlk
䃛	dlp
硱	dls
碘	dma
冇	dmb
碳	dmd
碉	dmf
布	dmh
而	dmj
砚	dmq
页	dmu
碾	dna
乭	dnb
臧	dnd
䎁	dng
嘏	dnh
尴	dnj
怘	dnu
尢	dnv
尬	dnw
盛	dnx
尤	dny
盔	dol
懂	don
磷	doq
矿	dot
灰	dou
达	dpi
碗	dpq
牵	dpt
砥	dqa
克	dqb
兢	dqd
确	dqe
碒	dqg
㚚	dqk
砍	dqw
矽	dqy
砶	drg
斫	drh
愿	dri
磈	drq
爽	drr
碑	drt
硒	dsg
厢	dsh
碴	dsj
厅	dsk
㚓	dsu
邦	dtb
寿	dtf
硌	dtk
砾	dtn
砭	dtp
故	dty
厥	dub
㕇	dud
辜	duf
砬	dug
对	dui
碚	duk
顿	dun
碰	duo
冭	duu
磁	dux
厩	dvc
砕	dvf
硉	dvg
碌	dvi
䃳	dvl
舂	dwe
奏	dwg
仄	dwi
春	dwj
矶	dwn
秦	dwt
雁	dww
礁	dwy
㔫	dxb
䂗	dxn
砒	dxx
袭	dxy
硫	dyc
砫	dyg
丈	dyi
礅	dyk
态	dyn
磅	dyu
碎	dyw
戍	dyx
砇	dyy
腻	eaf
肛	eag
舁	eaj
貓	eal
朦	eap
㥯	eav
毁	eaw
服	ebc
孚	ebf
䏪	ebg
乳	ebn
胫	eca
蜰	ecj
胎	eck
肥	ecn
肱	edc
胯	edf
胚	edh
须	edm
胧	edx
肽	edy
月	eee
舀	eef
朋	eeg
鹏	eeq
肋	eet
胁	eew
肢	efc
肚	efg
肝	efh
膨	efk
腩	efm
脖	efp
豺	eft
寽	efu
膤	efv
肤	efw
肘	efy
县	egc
且	egd
助	ege
膈	egk
肺	egm
與	egn
脛	egv
胰	egx
叟	ehc
腓	ehd
用	ehk
胪	ehn
辵	ehu
胱	eig
盥	eil
䐝	eim
膛	eip
膌	eiw
㸓	ejf
胆	ejg
刖	ejh
腢	ejm
腥	ejt
驾	ekc
加	ekg
肿	ekh
臊	ekk
贺	ekm
迦	ekp
架	eks
袈	eky
胭	eld
舅	ele
舆	elg
胛	elh
腮	eln
臅	elq
爵	elv
腆	ema
貒	emd
爯	emf
胴	emg
帠	emh
腡	emn
觅	emq
㐍	enb
鞥	eng
貑	enh
䑀	enk
肊	enn
肠	enr
力	ent
鼠	enu
甩	env
脏	eof
臕	eon
䊆	eou
膅	eov
腑	eow
脒	eoy
受	epc
爱	epd
边	epe
腚	epg
腕	epq
胺	epv
腔	epw
兒	eqb
脃	eqc
脆	eqd
胞	eqn
舄	eqo
胸	eqr
豹	eqy
胉	erg
肵	erh
腺	eri
遥	erm
貌	erq
脾	ert
䑈	erx
彩	ese
膘	esf
采	esu
腰	esv
膝	esw
䝗	esy
胀	eta
胜	etg
臼	eth
腹	etj
胳	etk
貔	etl
腇	etv
腾	eud
胖	eug
臆	euj
脱	euk
䐚	evc
腿	eve
妥	evf
肗	evg
貂	evk
肍	evn
㼏	evr
肕	evy
股	ewc
脸	ewg
办	ewi
肌	ewn
貅	ews
奚	exd
䏖	exh
脂	exj
膙	exk
肶	exx
胟	exy
脐	eyj
膻	eyl
脉	eyn
脑	eyr
肪	eyt
膀	eyu
朖	eyv
胶	eyw
臃	eyx
堪	fad
卋	faf
卉	faj
霸	fak
饭	fan
塔	faw
邗	fbh
壭	fbj
凷	fbk
地	fbn
圾	fby
却	fcb
动	fce
翅	fcn
运	fcp
魂	fcr
埃	fct
去	fcu
雳	fde
震	fdf
坧	fdg
坏	fdh
需	fdm
城	fdn
坥	feg
飞	fei
分	fen
霓	feq
霢	fer
㔹	fet
协	few
坛	ffc
圭	fff
填	ffh
款	ffi
恚	ffn
堵	fft
寺	ffu
博	fge
二	fgg
十	fgh
垣	fgj
坪	fgu
墟	fha
趣	fhb
坡	fhc
霏	fhd
趄	fhe
直	fhf
址	fhg
赴	fhh
趟	fhi
盐	fhl
武	fhn
趋	fhq
赵	fhr
走	fhu
超	fhv
真	fhw
圤	fhy
霄	fie
霈	fig
未	fii
示	fiu
朝	fjf
坦	fjg
刊	fjh
亓	fjj
井	fjk
塌	fjn
进	fjp
埸	fjq
颉	fkd
袁	fke
吉	fkf
圳	fkh
鼓	fku
哉	fkx
戴	fla
雷	flf
夁	fll
载	flx
圸	fmh
献	fmu
坝	fmy
㐋	fnb
䨒	fnf
霞	fnh
霹	fnk
圮	fnn
声	fnr
志	fnu
亏	fnv
块	fnw
专	fny
郝	fob
垿	foc
赫	fof
覝	foh
圹	fot
赤	fou
塘	fov
勃	fpb
壹	fpg
过	fpi
辻	fpk
毂	fpl
壶	fpo
壳	fpw
索	fpx
元	fqb
顽	fqd
雹	fqn
远	fqp
均	fqu
无	fqv
坎	fqw
坂	frc
垢	frg
圻	frh
塊	frq
霜	fsh
墰	fsj
坷	fsk
霖	fss
雬	fsu
栽	fsx
教	ftb
才	fte
霆	ftf
考	ftg
者	ftj
圪	ftn
老	ftx
坆	fty
丧	fue
幸	fuf
垃	fug
境	fuj
培	fuk
增	ful
霎	fuv
垠	fve
雪	fvf
壗	fvh
替	fwf
夫	fwi
堢	fwk
规	fwm
埠	fwn
垛	fws
赍	fww
墢	fwx
零	fwy
䨎	fxc
塡	fxh
㘭	fxn
堦	fxx
坶	fxy
堉	fyc
裁	fye
霅	fyf
圡	fyi
霭	fyj
壤	fyk
壈	fyl
塆	fyo
雱	fyr
坊	fyt
雯	fyu
坑	fyw
坟	fyy
邢	gab
琪	gad
形	gae
玒	gag
该	gai
弄	gaj
开	gak
瑛	gam
干	gan
高	gao
璥	gaq
㻓	gbc
珥	gbg
击	gbj
顿	gbn
至	gcf
玛	gcg
丟	gcu
㺨	gcy
瑚	gde
环	gdh
天	gdi
蚕	gdj
吞	gdk
顼	gdm
琦	gds
㺯	gdu
珑	gdx
青	gef
玥	geg
甫	geh
豕	gei
珈	gek
靓	gem
跟	gen
逐	gep
静	geq
瑶	ger
玏	get
表	geu
珐	gfc
珪	gff
玕	gfh
于	gfk
盂	gfl
玮	gfn
迂	gfp
玩	gfq
琶	ggc
琢	gge
王	ggg
五	ggh
球	ggi
一	ggl
瑟	ggn
琴	ggw
琵	ggx
珏	ggy
琥	gha
玻	ghc
正	ghd
焉	ghg
下	ghi
玷	ghk
丐	ghn
璨	ghq
政	ght
㺪	ghy
琐	gim
救	giy
理	gjf
亘	gjg
惠	gjh
丌	gjk
更	gjr
琨	gjx
璟	gjy
吾	gkf
囊	gkh
整	gki
卅	gkk
副	gkl
融	gkm
带	gkp
吏	gkr
豆	gku
事	gkv
画	glb
玾	glh
柬	gli
卌	glk
琏	glp
㻿	glq
遭	gma
瑞	gmd
再	gmf
刺	gmi
珊	gmm
现	gmq
责	gmu
两	gmw
丽	gmy
珉	gna
㐏	gnb
琚	gnd
与	gng
瑕	gnh
㝳	gni
瑋	gnk
瓦	gnn
戸	gnr
忢	gnu
丂	gnv
严	god
亚	gog
灭	goi
共	gon
琰	goo
够	gou
瑭	gov
迋	gpd
琮	gpf
珲	gpl
琬	gpq
琛	gpw
殆	gqc
万	gqe
残	gqf
琻	gqg
歹	gqi
列	gqj
殃	gqm
迈	gqp
殉	gqq
殊	gqr
熬	gqt
殚	gqu
兀	gqv
殓	gqw
死	gqx
玖	gqy
碧	grd
珀	grg
珠	gri
瑰	grq
瓆	grr
璬	gry
玎	gsh
末	gsi
亍	gsj
珂	gsk
琳	gss
琇	gtb
瓒	gtf
珩	gtg
珞	gtk
璁	gtl
麦	gtu
㻶	gtv
玫	gty
挂	gua
夹	gud
平	guf
贵	gui
璋	guj
璔	gul
滚	gun
过	guo
珢	gve
妻	gvh
琭	gvi
璅	gvj
玿	gvk
㻏	gvo
瑙	gvt
玳	gwa
玜	gwc
珍	gwe
瑜	gwg
玑	gwn
兲	gwu
玲	gwy
互	gxg
纛	gxh
素	gxi
毒	gxu
夷	gxw
瑎	gxx
琉	gyc
斑	gyg
玉	gyi
琼	gyk
璃	gyr
班	gyt
琅	gyv
玟	gyy
虐	haa
虏	hae
瞒	hag
还	hai
虞	hak
瞄	hal
虑	han
虚	hao
虍	hav
虎	haw
虔	hay
䶔	hbb
䶕	hbc
䶢	hbd
䶧	hbf
眲	hbg
䶥	hbh
齒	hbj
䶫	hbk
䁅	hbl
䶤	hbm
齷	hbn
齳	hbp
䶟	hbq
齗	hbr
䶗	hbs
䶜	hbt
䶘	hbu
齦	hbv
䶖	hbw
齔	hbx
齩	hby
㿬	hcc
颇	hcd
皯	hcf
皮	hci
眙	hck
眸	hct
攴	hcu
㿳	hcv
睚	hdf
䀦	hdg
辈	hdh
瞭	hdu
眬	hdx
肯	hef
眀	heg
瞍	heh
黑	hei
䂃	hel
很	hen
瞬	hep
睨	heq
睬	hes
䀐	het
睜	hev
歧	hfc
眭	hff
盰	hfh
眛	hfi
睹	hft
䁄	hfu
睦	hfw
盹	hgb
上	hgd
睛	hge
卡	hgh
叔	hgi
睫	hgv
频	hhd
止	hhg
目	hhh
丨	hhl
睍	hhq
步	hhr
歨	hhu
瞿	hhw
卜	hhy
瞠	hip
卓	hjf
旧	hjg
䁙	hjp
桌	hjs
战	hka
占	hkf
点	hko
盀	hlf
睤	hlg
卤	hlr
睏	hls
瞜	hlv
㮚	hlw
眏	hmd
睭	hmf
卣	hmn
遉	hmp
贞	hmu
眠	hna
瞰	hnb
鼎	hnd
凹	hnm
䁕	hnn
卢	hnr
瞩	hnt
歯	hob
瞨	hog
红	hon
瞇	hop
瞵	hoq
后	hou
䁖	hov
眯	hoy
瞎	hpd
肻	hpe
睆	hpf
睿	hpg
瞑	hpj
眈	hpq
㢟	hpv
見	hqb
餐	hqc
瞻	hqd
䙷	hqf
眺	hqi
睌	hqk
䁩	hqo
歺	hqu
睁	hqv
䁓	hrb
眅	hrc
盺	hrh
瞴	hrl
矈	hrp
䀿	hrr
睥	hrt
䁻	hrx
䁶	hry
瞟	hsf
盯	hsh
瞫	hsj
㱒	hsk
䁏	hsv
睡	htf
矀	htm
盵	htn
瞅	hto
眨	htp
䀲	htx
话	hua
䀞	huf
会	hui
瞳	huj
䁬	hul
混	hun
或	huo
䁠	huv
睇	hux
眼	hve
龄	hwb
瞈	hwc
瞪	hwg
睺	hwn
具	hwu
盼	hwv
瞧	hwy
砦	hxd
些	hxf
赀	hxm
此	hxn
柴	hxs
姕	hxv
雌	hxw
紫	hxx
訾	hxy
瞮	hyc
瞓	hyk
䁴	hyl
睙	hyn
眆	hyt
䁤	hyu
䀶	hyv
睟	hyw
眩	hyx
盿	hyy
湛	iad
江	iag
漠	iaj
灌	iak
汇	ian
涝	iap
鸿	iaq
沤	iar
柒	ias
浇	iat
沏	iav
洪	iaw
㳀	iay
滠	ibc
洱	ibg
涵	ibi
㳱	ibj
凼	ibk
池	ibn
漋	ibt
滁	ibw
㶌	ibx
汲	iby
泾	ica
渗	icd
涌	ice
泽	icg
治	ick
沇	icq
滩	icw
汉	icy
汯	idc
湖	ide
涯	idf
沽	idg
沣	idh
淹	idj
湎	idm
㳠	idp
源	idr
涛	idt
尖	idu
汰	idy
浮	ieb
滔	iee
肖	ief
沮	ieg
削	iej
逍	iep
淫	iet
溪	iex
灞	ifa
法	ifc
尘	iff
汢	ifg
汗	ifh
潮	ifj
洁	ifk
污	ifn
渤	ifp
渚	ift
潜	ifw
浅	ifx
沌	igb
添	igd
清	ige
汪	igg
沔	igh
洹	igj
滞	igk
沛	igm
涞	igo
耀	igq
沫	igs
浃	igu
举	igw
滤	iha
波	ihc
泪	ihg
涉	ihh
渺	ihi
淖	ihj
沾	ihk
泸	ihn
瀣	ihq
小	iht
濉	ihw
消	iie
淼	iii
淌	iim
沙	iit
沝	iiy
瀑	ija
沓	ijf
汨	ijg
漫	ijl
湿	ijo
渴	ijq
滥	ijt
混	ijx
浊	ijy
湒	ikb
浥	ikc
涓	ike
呇	ikf
汌	ikh
渑	ikj
澡	ikk
涡	ikm
㳏	ikr
㳭	iks
㕾	ikx
潩	ila
涸	ild
渭	ile
畄	ilf
泗	ilg
㳌	ilh
単	ilj
洄	ilk
㵋	ilm
潿	iln
涟	ilp
濁	ilq
渐	ilr
涃	ils
漊	ilv
泅	ilw
漯	ilx
澧	ima
湍	imd
滑	ime
溅	imf
油	img
汕	imh
测	imj
尚	imk
涔	imw
浿	imy
泯	ina
潺	inb
漏	inf
渥	ing
湄	inh
涮	inm
汜	inn
汤	inr
泼	int
泥	inx
沁	iny
渡	ioa
瀍	ioj
漉	ion
淡	ioo
㲿	iot
濂	iou
溏	iov
洣	ioy
学	ipb
浓	ipe
尝	ipf
演	ipg
涫	iph
溟	ipj
党	ipk
浑	ipl
觉	ipm
沈	ipq
滨	ipr
泞	ips
滓	ipu
深	ipw
沱	ipx
沟	iqc
澹	iqd
淦	iqg
洵	iqj
涣	iqm
泡	iqn
淘	iqr
漪	iqt
汐	iqy
汹	irb
淆	ird
派	ire
泊	irg
沂	irh
汽	irn
浙	irr
激	iry
漂	isf
洒	isg
汀	ish
潭	isj
河	isk
淅	isr
淋	iss
漆	isw
沐	isy
活	itd
少	ite
浩	itf
省	ith
洛	itk
澳	itm
潘	ito
泛	itp
涤	its
海	itx
汷	ity
溯	iub
㶒	iuc
泣	iug
涧	iuj
涪	iuk
潎	ium
溢	iuw
滋	iux
溉	ivc
当	ivf
汝	ivg
沼	ivk
淄	ivl
氿	ivn
浸	ivp
染	ivs
梁	ivw
涩	ivy
沧	iwb
没	iwc
脊	iwe
浍	iwf
涂	iwg
沿	iwk
㲹	iwn
濮	iwo
氼	iwu
汾	iwv
浴	iww
沦	iwx
淮	iwy
泓	ixc
澠	ixg
沸	ixj
涨	ixt
溺	ixu
潍	ixw
沘	ixx
流	iyc
注	iyg
济	iyj
淳	iyk
沪	iyn
湾	iyo
漓	iyr
洲	iyt
滴	iyu
浪	iyv
液	iyw
汶	iyy
蟒	jad
虹	jag
蚜	jah
蜡	jaj
蝶	jan
晓	jat
暴	jaw
最	jbc
㫗	jbf
虸	jbg
蜢	jbl
虵	jbn
蝃	jcc
肾	jce
坚	jcf
蚂	jcg
贤	jcm
蚆	jcn
竖	jcu
紧	jcx
蛂	jdc
蝴	jde
晨	jdf
蛄	jdg
蚌	jdh
蝒	jdm
晟	jdn
旲	jdu
冐	jef
明	jeg
盟	jel
暧	jep
㫑	jet
野	jfc
里	jfd
蛙	jff
旰	jfh
昧	jfi
早	jfj
蝻	jfm
暑	jft
时	jfy
蛭	jgc
昊	jgd
晴	jge
旦	jgf
旺	jgg
题	jgh
量	jgj
晤	jgk
暕	jgl
师	jgm
㫵	jhd
冒	jhf
刂	jhh
申	jhk
虫	jhn
虲	jhy
家	jia
届	jie
晃	jig
㫾	jim
烬	jin
螳	jip
就	jiu
曝	jja
昌	jjf
昍	jjg
晶	jjj
蝹	jjl
蝎	jjq
䖵	jjy
蜈	jkg
蚛	jkh
蝇	jkj
蟬	jkk
蜗	jkm
㫛	jkq
曼	jlc
蝟	jle
蛊	jlf
蝈	jlg
蛼	jlh
蛔	jlk
蠝	jll
螹	jlr
蜠	jlt
螺	jlx
映	jmd
蚰	jmg
愚	jmh
旵	jmj
蛽	jmy
蛡	jng
暇	jnh
虬	jnn
遢	jnp
电	jnv
昵	jnx
昿	joc
显	jog
蠑	joo
旷	jot
炅	jou
炚	joy
暄	jpg
螟	jpj
晕	jpl
蜿	jpq
晏	jpv
蛇	jpx
㬕	jpy
昂	jqb
蟾	jqd
晁	jqi
晚	jqk
易	jqr
歇	jqw
蝬	jrb
䖰	jre
蝗	jrg
昕	jrh
蛛	jri
蟱	jrl
螝	jrq
颗	jsd
晒	jsg
虰	jsh
果	jsi
蚵	jsk
晰	jsr
杲	jsu
蚞	jsy
蜂	jtd
星	jtg
昨	jth
晌	jtm
蟋	jto
蛾	jtr
蝌	jtu
晦	jtx
临	jty
觉	jue
昱	juf
曦	jug
暗	juj
蜕	juk
蝉	jul
均	jun
螊	juv
旯	jvb
妟	jvf
归	jvg
照	jvk
均	jvn
虭	jvt
蚣	jwc
蛤	jwg
螩	jwh
㬰	jwi
蛻	jwk
虮	jwn
蚥	jwr
蛜	jwv
䘋	jww
晔	jwx
晗	jwy
㫐	jxb
曳	jxe
䗰	jxf
蠅	jxg
蚓	jxh
曏	jxt
昆	jxx
曵	jxy
蛀	jyg
影	jyk
蝙	jyn
蚁	jyr
昉	jyt
旻	jyu
螂	jyv
蛟	jyw
蟀	jyx
蚊	jyy
嘶	kad
叿	kag
呀	kah
开	kai
噶	kaj
嘞	kak
呓	kan
考	kao
唠	kap
哎	kar
哄	kaw
嗫	kbc
咠	kbf
吇	kbg
叩	kbh
咄	kbm
吼	kbn
啊	kbs
吸	kby
邑	kcb
嗓	kcc
嗵	kce
吗	kcg
吧	kcn
嗎	kco
吮	kcq
唉	kct
唆	kcw
叹	kcy
呃	kdb
吰	kdc
咕	kdg
嘎	kdh
喱	kdj
顺	kdm
嘹	kdu
咙	kdx
吠	kdy
肙	kef
咀	keg
嗖	keh
剋	kei
别	kej
咖	kek
嚼	kel
肯	ken
嗳	kep
鹃	keq
另	ker
叻	ket
哸	kev
喷	kfa
吱	kfc
哇	kff
吐	kfg
叶	kfh
味	kfi
嘲	kfj
嘻	kfk
鄙	kfl
喃	kfm
嗦	kfp
嗜	kft
吋	kfy
吨	kgb
吴	kgd
哺	kge
呈	kgf
㕶	kgg
吓	kgh
哽	kgj
嗽	kgk
嘈	kgm
号	kgn
哑	kgo
逞	kgp
咧	kgq
咦	kgx
距	kha
踊	khc
跨	khd
踩	khe
践	khf
贵	khg
趾	khh
踏	khi
踢	khj
中	khk
盅	khl
蹦	khm
忠	khn
踱	kho
踪	khp
跑	khq
跌	khr
跃	kht
足	khu
跟	khv
趴	khw
嘴	khx
卟	khy
哨	kie
咣	kig
啵	kih
唢	kim
吵	kit
哩	kjf
呻	kjh
唱	kjj
嗢	kjl
喁	kjm
喝	kjq
虽	kju
骂	kkc
器	kkd
吕	kkf
吅	kkg
串	kkh
品	kkk
咒	kkw
咽	kld
喟	kle
嘿	klf
喂	klg
呷	klh
嚃	kli
嘪	klm
啰	klq
嗣	kma
郧	kmb
喘	kmd
勋	kme
哃	kmg
吊	kmh
嘤	kmm
员	kmu
呐	kmw
㗀	kmx
呗	kmy
哪	kng
叫	knh
噼	knk
唰	knm
嘱	knt
呢	knx
吣	kny
噗	kog
㖢	koh
空	kon
啖	koo
噒	koq
嘛	kos
口	kou
喽	kov
咪	koy
噻	kpa
哝	kpe
喧	kpg
嘧	kpn
啘	kpq
咛	kps
喀	kpt
咹	kpv
嚓	kpw
咜	kpx
兄	kqb
啗	kqe
噜	kqg
唤	kqm
呜	kqn
嚕	kqo
哆	kqq
吻	kqr
吹	kqw
鸣	kqy
唣	kra
呱	krc
唏	krd
㕷	krg
听	krh
史	kri
嘸	krl
啪	krr
啤	krt
啦	kru
喞	krx
嘌	ksf
哂	ksg
叮	ksh
喳	ksj
呵	ksk
㘄	ksl
噤	kss
呆	ksu
喓	ksv
㕲	ksy
噬	kta
唾	ktf
咱	kth
咯	ktk
响	ktm
吃	ktn
啾	kto
哦	ktr
呼	ktu
呚	kty
跨	kua
嗍	kub
咲	kud
唴	kuf
嗟	kug
吖	kuh
亏	kui
噫	kuj
困	kun
阔	kuo
嚪	kuq
嗞	kux
噚	kva
唧	kvc
㖀	kvg
嚍	kvh
啸	kvi
㕤	kvn
嘨	kvo
唚	kvp
叧	kvr
叨	kvt
䬭	kvw
呛	kwb
嗡	kwc
啥	kwf
哈	kwg
叽	kwn
嗲	kwr
咻	kws
只	kwu
吩	kwv
哗	kwx
叭	kwy
呦	kxe
喙	kxg
吲	kxh
咈	kxj
㖰	kxm
叱	kxn
哟	kxq
哔	kxx
吆	kxy
唷	kyc
唁	kyg
嚷	kyk
咳	kyn
㕫	kyt
啼	kyu
啷	kyv
吭	kyw
呅	kyy
轼	laa
轞	lah
来	lai
羃	laj
㘟	lak
蓝	lan
老	lao
轥	lau
輙	lbc
囝	lbd
辄	lbn
轻	lca
轰	lcc
囜	lci
轭	ldb
固	ldd
囿	lde
罟	ldf
轱	ldg
罘	ldh
因	ldi
恩	ldn
畸	lds
畴	ldt
軑	ldy
㘞	lee
胃	lef
䢁	leg
累	lei
冷	len
男	ler
䡃	let
罢	lfc
畦	lff
轩	lfh
団	lfi
䍐	lfj
辕	lfk
转	lfn
黑	lfo
园	lfq
署	lft
囤	lgb
囯	lgd
辅	lge
軖	lgg
罡	lgh
辐	lgk
辆	lgm
车	lgn
国	lgy
罪	lhd
罩	lhj
㐃	lhk
甲	lhn
列	lie
輄	lig
囦	lii
林	lin
㱎	liq
軣	liu
䳴	liw
輵	ljq
輠	ljs
辊	ljx
辑	lkb
回	lkd
軎	lkf
甽	lkh
圆	lkm
䍛	lld
畕	llf
圜	llg
䡛	llh
㘡	llk
田	lll
罳	lln
轋	llp
軮	lmd
輖	lmf
轴	lmg
軕	lmh
買	lmu
鷶	lmw
辗	lna
轏	lnb
翈	lng
轧	lnn
思	lnu
辘	lon
辚	loq
䍘	lou
辖	lpd
连	lpk
蜀	lqj
逻	lqp
囫	lqr
罗	lqu
软	lqw
鸭	lqy
䍟	lrb
畈	lrc
